monthyear,bronx,brooklyn,manhattan,queens,staten,citywide
2017/01,7413,4668,3978,2708,411,19178
2017/02,7306,5473,3891,2287,412,19369
2017/03,6870,5550,4254,3233,345,20252
2017/04,5730,4107,3318,2440,276,15871
2017/05,6573,5163,3648,2642,452,18478
2017/06,6743,4652,3378,2540,332,17645
2017/07,6522,5209,3717,2714,514,18676
2017/08,7836,5375,4102,3130,455,20898
2017/09,6713,4673,3943,2699,434,18462
2017/10,7298,5580,3880,2829,432,20019
2017/11,6737,5661,3611,2899,368,19276
2017/12,6829,5158,3828,2579,356,18750
2018/01,7953,5468,3856,3048,523,20848
2018/02,6341,4882,3894,2460,479,18056
2018/03,6873,5228,3429,2570,392,18492
2018/04,5540,4119,3335,2716,315,16025
2018/05,6128,4246,3276,2211,409,16270
2018/06,6266,4753,3830,2366,409,17624
2018/07,6267,5036,3644,2867,415,18229
2018/08,6867,6265,4146,2723,446,20447
2018/09,5880,4044,3271,2158,366,15719
2018/10,7370,6166,3896,2932,607,20971
2018/11,6377,5723,3621,2720,331,18772
2018/12,6320,4428,3514,2437,400,17099
2019/01,7338,5292,3991,2908,491,20020
2019/02,6104,4908,3244,2505,293,17054
2019/03,5758,4610,3161,2555,373,16457
2019/04,6004,4392,3841,2363,288,16888
2019/05,5811,4959,3868,2377,386,17401
2019/06,4349,3791,2168,1868,377,12553
2019/07,2236,2048,1290,1168,196,6938
2019/08,4305,3223,1990,1930,224,11672
2019/09,4893,3349,2134,1870,288,12534
2019/10,5005,3783,2559,1910,464,13721
2019/11,5204,3533,2129,1630,330,12826
2019/12,5309,3588,2319,2016,237,13469
2020/01,5488,3890,2848,2063,276,14565
2020/02,4963,3557,2497,1947,349,13313
2020/03,3047,2531,1964,1334,179,9055
2020/04,2,1,1,0,0,4
2020/05,,4,0,0,0,4
2020/06,3,1,5,1,0,10
2020/07,220,396,333,935,20,1904
2020/08,1812,1742,1001,1135,50,5740
2020/09,2847,1615,1231,1364,93,7150
2020/10,2665,2520,1452,1343,140,8120
2020/11,2824,1762,1568,1162,208,7524
2020/12,2633,2323,1421,1115,152,7644
2021/01,160,115,66,82,17,440
2021/02,388,431,317,197,38,1371
2021/03,1088,922,696,596,102,3404
2021/04,1685,1238,947,968,108,4946
2021/05,1740,1259,1015,1067,97,5178
2021/06,1827,1223,999,821,156,5026
2021/07,1614,871,749,688,59,3981
2021/08,1474,1079,745,894,109,4301
2021/09,724,722,340,487,53,2326
2021/10,1120,864,574,708,63,3329
2021/11,1387,940,740,720,39,3826
2021/12,1207,1113,647,918,97,3982
2022/01,1877,1438,1036,1040,111,5502
2022/02,2515,1607,1091,1004,174,6391
2022/03,2798,2520,1493,2003,199,9013
2022/04,3376,2458,1595,1387,169,8985
2022/05,3508,2371,1697,1473,263,9312
2022/06,999,1790,1573,379,147,4888
