monthyear,bronx,brooklyn,manhattan,queens,staten,citywide
2017/01,3945,2358,1440,1778,223,9744
2017/02,2953,2338,1107,1393,210,8001
2017/03,4682,2854,1499,1598,185,10818
2017/04,3577,2002,1263,1132,134,8108
2017/05,3204,2660,1370,1566,164,8964
2017/06,3305,2404,1422,1241,227,8599
2017/07,4225,2048,1337,1062,152,8824
2017/08,3681,2435,1437,1370,229,9152
2017/09,3674,2301,1327,1237,237,8776
2017/10,4229,2356,1307,1223,246,9361
2017/11,3101,2049,966,797,172,7085
2017/12,3726,2212,1038,1540,201,8717
2018/01,3623,2338,1303,1508,214,8986
2018/02,3506,2549,1569,1528,224,9376
2018/03,3796,2778,1541,1233,208,9556
2018/04,3443,2397,1256,1535,147,8778
2018/05,2992,2281,1367,982,174,7796
2018/06,2525,2174,1010,1736,199,7644
2018/07,2485,1975,1177,1234,290,7161
2018/08,2348,2163,1209,1589,251,7560
2018/09,2405,1840,1089,1084,169,6587
2018/10,3139,2757,1218,1316,241,8671
2018/11,2617,2019,1223,1025,221,7105
2018/12,2558,2107,1158,1239,174,7236
2019/01,3590,2390,1212,1261,196,8649
2019/02,2702,1757,1178,1063,228,6928
2019/03,3210,2173,1266,1248,205,8102
2019/04,3111,1944,1084,1219,176,7534
2019/05,2774,2488,1125,1292,154,7833
2019/06,2501,2175,1051,1032,161,6920
2019/07,2625,1489,827,895,73,5909
2019/08,1847,2043,864,799,259,5812
2019/09,1639,1605,656,720,118,4738
2019/10,2003,1625,791,886,176,5481
2019/11,1791,1474,832,685,150,4932
2019/12,2269,1608,703,867,144,5591
2020/01,2099,1639,883,924,196,5741
2020/02,1727,1770,809,959,151,5416
2020/03,1455,1225,444,471,84,3679
2020/04,0,0,0,0,0,0
2020/05,1,0,0,0,0,1
2020/06,1,6,0,0,0,7
2020/07,1,0,0,0,0,1
2020/08,2,0,0,0,0,2
2020/09,0,6,0,0,0,6
2020/10,2,2,0,0,0,4
2020/11,1,36,0,4,1,42
2020/12,1,57,0,23,8,89
2021/01,0,0,0,0,0,0
2021/02,2,3,0,0,1,6
2021/03,0,1,0,0,0,1
2021/04,1,18,2,0,4,25
2021/05,2,15,0,1,16,34
2021/06,8,22,14,10,12,66
2021/07,16,17,16,6,18,73
2021/08,40,46,19,25,13,143
2021/09,2,2,4,13,13,34
2021/10,3,40,5,20,18,86
2021/11,29,40,7,31,21,128
2021/12,102,54,16,22,29,223
2022/01,76,89,28,41,29,263
2022/02,12,136,25,80,32,285
2022/03,102,285,51,131,42,611
2022/04,167,273,108,123,41,712
2022/05,94,350,110,118,46,718
2022/06,174,415,147,113,47,896
